sentence,label,answer
I want to know about offers and referral programs,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are offers and referral programs available,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Show me some offers and referrals program,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Offers and Referrals,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Do you have any referral offer ,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are active offers for me,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are new offer this week for me,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
How I can refer and Earn,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Open offers,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Show me new offers,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Back to offers,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are new offer this week for me,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Offers and referral program are active on the PowerPlay11,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are the referral offers,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Referral offers,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
My friend was asking for referral code do I will get referral bonus,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Any promotions available,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Referral,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
How do I Refer and earn,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Refer and Earn Program,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What is the refer and earn program,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Show my referrals,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Do you have any referral offer for me,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
What are active offers for me,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
Return on Referrals,OFFERS_AND_REFERRALS,These are few *OFFERS_AND_REFERRALS*
