sentence,label
You guys provide EMI option?,EMI
Do you offer Zero Percent EMI payment options?,EMI
0% EMI.,EMI
EMI,EMI
I want in installment,EMI
I want it on 0% interest,EMI
How to get in EMI,EMI
what about emi options,EMI
I need emi payment. ,EMI
How to EMI,EMI
I want to buy on EMI,EMI
I want to buy this in installments,EMI
0% Emi,EMI
Down payments,EMI
Installments,EMI
How about Paisa finance,EMI
Paisa finance service available,EMI
What is minimum down payment,EMI
Paisa Finance is available,EMI
Do you accept Paisa EMI card,EMI
Can we buy through Paisa finance,EMI
EMI Option,EMI
Paisa Finance,EMI
No cost EMI is available?,EMI
Is EMI available,EMI
COD option is availble?,COD
Do you offer COD to my pincode?,COD
Can I do COD?,COD
COD,COD
Is it possible to COD,COD
Cash on delivery is acceptable?,COD
Can pay later on delivery ,COD
DO you have COD option,COD
Can it deliver by COD,COD
Is COD option available,COD
Can I get COD option?,COD
Cash on delivery is available,COD
Features of Ortho mattress,ORTHO_FEATURES
What are the key features of the SOF Ortho mattress,ORTHO_FEATURES
SOF ortho,ORTHO_FEATURES
Ortho mattress,ORTHO_FEATURES
Ortho features,ORTHO_FEATURES
ortho,ORTHO_FEATURES
Tell me about SOF Ortho mattress,ORTHO_FEATURES
Have a back problem,ORTHO_FEATURES
I have back pain issue,ORTHO_FEATURES
Back Pain,ORTHO_FEATURES
Is it orthopaedic,ORTHO_FEATURES
Neck pain and back pain,ORTHO_FEATURES
back ache issue,ORTHO_FEATURES
I m looking mattress for slip disc problem,ORTHO_FEATURES
Do we have anything for backache,ORTHO_FEATURES
I am cervical and Lombard section problem,ORTHO_FEATURES
Is there orthopedic mattress available,ORTHO_FEATURES
What are the key features of the SOF Ergo mattress,ERGO_FEATURES
Features of Ergo mattress,ERGO_FEATURES
SOF ergo,ERGO_FEATURES
Ergo mattress,ERGO_FEATURES
Ergo features,ERGO_FEATURES
Ergo,ERGO_FEATURES
Tell me about SOF Ergo mattress,ERGO_FEATURES
What about ergo,ERGO_FEATURES
What is responsive foam,ERGO_FEATURES
SOF ergo features,ERGO_FEATURES
Does this have ergonomic support?,ERGO_FEATURES
What is the difference between the Ergo & Ortho variants,COMPARISON
Difference between Ergo & Ortho Mattress,COMPARISON
Difference between the products,COMPARISON
Compare the 2 mattresses,COMPARISON
Product comparison,COMPARISON
 Comparison,COMPARISON
Which mattress to buy?,COMPARISON
Is the mattress good for my back,COMPARISON
Mattress comparison,COMPARISON
Compare ergo & ortho variants,COMPARISON
I wanna know the difference,COMPARISON
What is the warranty period?,WARRANTY
Warranty,WARRANTY
Does mattress cover is included in warranty,WARRANTY
How long is the warranty you offer on your mattresses and what does it cover,WARRANTY
Do you offer warranty ,WARRANTY
Tell me about the product warranty,WARRANTY
Share warranty information,WARRANTY
Need to know the warranty details,WARRANTY
Want to know about warranty,WARRANTY
would interested in warranty details,WARRANTY
How does the 100 night trial work,100_NIGHT_TRIAL_OFFER
What is the 100-night offer,100_NIGHT_TRIAL_OFFER
Trial details,100_NIGHT_TRIAL_OFFER
How to enroll for trial,100_NIGHT_TRIAL_OFFER
100 night trial,100_NIGHT_TRIAL_OFFER
Is the 100 night return trial applicable for custom size as well,100_NIGHT_TRIAL_OFFER
100 night,100_NIGHT_TRIAL_OFFER
Trial offer on customisation,100_NIGHT_TRIAL_OFFER
do you provide exchange,100_NIGHT_TRIAL_OFFER
Can I try a mattress first,100_NIGHT_TRIAL_OFFER
I want to check offers,100_NIGHT_TRIAL_OFFER
What is 100 Night trial offer,100_NIGHT_TRIAL_OFFER
Need 100 days trial,100_NIGHT_TRIAL_OFFER
100 days trial,100_NIGHT_TRIAL_OFFER
Can I get free trial,100_NIGHT_TRIAL_OFFER
100 Nights trial version,100_NIGHT_TRIAL_OFFER
 Can you give me 100 night trial ,100_NIGHT_TRIAL_OFFER
100 free Nights,100_NIGHT_TRIAL_OFFER
I want to change the size of the mattress.,SIZE_CUSTOMIZATION
Need some help in changing size of the mattress,SIZE_CUSTOMIZATION
How can I order a custom sized mattress,SIZE_CUSTOMIZATION
Custom size,SIZE_CUSTOMIZATION
Customise size ,SIZE_CUSTOMIZATION
Customisation is possible?,SIZE_CUSTOMIZATION
Will I get an option to Customise the size,SIZE_CUSTOMIZATION
Can mattress size be customised?,SIZE_CUSTOMIZATION
Mattress size change,SIZE_CUSTOMIZATION
Can you help with the size?,WHAT_SIZE_TO_ORDER
How do I know what size to order?,WHAT_SIZE_TO_ORDER
How do I know the size of my bed?,WHAT_SIZE_TO_ORDER
Inches,WHAT_SIZE_TO_ORDER
Length,WHAT_SIZE_TO_ORDER
Feet,WHAT_SIZE_TO_ORDER
6*3,WHAT_SIZE_TO_ORDER
Help me with the size chart,WHAT_SIZE_TO_ORDER
What are the available sizes?,WHAT_SIZE_TO_ORDER
Can I please have the size chart?,WHAT_SIZE_TO_ORDER
Share the size structure,WHAT_SIZE_TO_ORDER
What are the sizes available?,WHAT_SIZE_TO_ORDER
Want to know the custom size chart,WHAT_SIZE_TO_ORDER
Mattress size,WHAT_SIZE_TO_ORDER
 What size to order?,WHAT_SIZE_TO_ORDER
Show me all available sizes,WHAT_SIZE_TO_ORDER
What are the sizes,WHAT_SIZE_TO_ORDER
What are the available mattress sizes,WHAT_SIZE_TO_ORDER
King Size,WHAT_SIZE_TO_ORDER
Inches,WHAT_SIZE_TO_ORDER
Get in Touch,LEAD_GEN
Want to talk to an live agent,LEAD_GEN
 Please call me,LEAD_GEN
Do you have Live agent,LEAD_GEN
Want to get in touch,LEAD_GEN
 Schedule a callback ,LEAD_GEN
 Arrange a call back ,LEAD_GEN
How to get in touch?,LEAD_GEN
Interested in buying,LEAD_GEN
I want to buy this,LEAD_GEN
How to buy?,LEAD_GEN
How to order,LEAD_GEN
I want to order,LEAD_GEN
Connect to an agent,LEAD_GEN
Get In Touch,LEAD_GEN
I want a call back,LEAD_GEN
I need a call back,LEAD_GEN
Please call me back,LEAD_GEN
Call me now,LEAD_GEN
I want to buy,LEAD_GEN
Need a call from your representative,LEAD_GEN
Do you deliver to my pincode,CHECK_PINCODE
Check pincode,CHECK_PINCODE
Is delivery possible on this pincode,CHECK_PINCODE
Will you be able to deliver here,CHECK_PINCODE
